song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Alison,11,204000,0.6709999999999999,0.564,0.317,5.8399999999999997e-05,1,0.11900000000000001,-11.216,0,0.0473,176.915,4,0.37799999999999995
Killin' Time,58,168000,0.455,0.7140000000000001,0.522,1.0199999999999999e-05,7,0.0967,-9.773,1,0.0283,121.31200000000001,4,0.69
Chronomètre,38,254480,0.45899999999999996,0.6559999999999999,0.38799999999999996,0.0,10,0.0875,-8.086,0,0.0423,122.939,4,0.23199999999999998
I Write Sins Not Tragedies,77,187613,0.0938,0.5670000000000001,0.795,0.0,9,0.114,-4.985,0,0.134,170.06,4,0.635
Dexter's Tune - Remastered Awakenings - Original Motion Picture Soundtrack,55,159800,0.996,0.40700000000000003,0.028999999999999998,0.932,7,0.084,-29.691999999999997,1,0.0654,73.053,5,0.134
Wasted Love,48,178920,0.0016,0.54,0.805,7.859999999999999e-05,2,0.138,-3.838,0,0.0307,116.464,4,0.561
Get Dripped (feat. Playboi Carti),0,158769,0.0987,0.955,0.49200000000000005,0.0,8,0.41700000000000004,-8.443999999999999,1,0.395,130.062,4,0.904
Gimme Shelter,75,270773,0.447,0.634,0.63,0.039,1,0.17,-8.277000000000001,0,0.031,118.62799999999999,4,0.489
Blue Kentucky Girl,44,160626,0.71,0.7140000000000001,0.34600000000000003,0.00232,11,0.0998,-11.665999999999999,1,0.0371,113.264,4,0.57
Believer,57,223469,0.0743,0.596,0.905,0.00168,8,0.128,-3.4560000000000004,0,0.0515,144.981,4,0.6920000000000001
Pinball Wizard,69,180943,0.0192,0.537,0.716,0.0,2,0.245,-8.766,1,0.038,122.87299999999999,4,0.452
Faking It,69,167625,0.319,0.6459999999999999,0.371,0.0,1,0.218,-8.645,0,0.0575,81.096,4,0.24
Merengue Electronico,48,235373,0.0582,0.7240000000000001,0.8,0.000717,2,0.198,-5.676,0,0.0368,126.994,4,0.755
"If You Love Me, Come Clean",57,220062,0.797,0.511,0.11900000000000001,0.00432,9,0.12,-15.349,1,0.0414,134.195,4,0.0763
Don't Touch My Hair,63,257546,0.409,0.823,0.41100000000000003,0.00135,0,0.649,-7.061,1,0.0557,90.99700000000001,4,0.397
Medicina De Amor,53,360720,0.315,0.662,0.461,1.12e-06,1,0.0445,-7.36,1,0.0495,142.55100000000002,4,0.912
En Barranquilla Me Quedo,63,312480,0.172,0.642,0.7,0.00023199999999999997,1,0.0895,-9.213,1,0.0552,103.899,4,0.784
Felt,56,142207,0.995,0.5329999999999999,0.007409999999999999,0.95,0,0.0849,-35.449,1,0.0498,99.8,4,0.598
Actor,44,168030,0.16,0.907,0.35,7.69e-06,4,0.36700000000000005,-11.106,0,0.131,128.02,4,0.377
You And I,30,238426,0.233,0.488,0.305,0.000539,5,0.113,-13.194,1,0.0281,82.006,4,0.171
I Get The Bag (feat. Migos),12,233087,0.0232,0.89,0.633,0.000343,11,0.0993,-5.475,1,0.168,139.94799999999998,4,0.425
Show Me,63,227555,0.418,0.5660000000000001,0.447,0.00443,1,0.114,-8.302999999999999,1,0.0372,101.171,3,0.0394
Loco Notion,45,168770,0.177,0.825,0.715,6.53e-05,4,0.42,-7.042000000000001,0,0.125,124.931,4,0.42
Hold On,61,226186,0.20600000000000002,0.574,0.667,0.35200000000000004,5,0.0852,-5.425,1,0.0301,88.29899999999999,4,0.546
Morning Whisper,63,171898,0.996,0.358,0.0262,0.9329999999999999,0,0.09,-25.829,0,0.0438,70.5,4,0.0939
Move (Time To Get Loose),40,188438,0.0057799999999999995,0.7909999999999999,0.7929999999999999,0.0268,2,0.25,-7.546,1,0.0617,123.97,4,0.895
Imagine - Remastered 2010,77,187866,0.907,0.547,0.257,0.183,0,0.0935,-12.357999999999999,1,0.0252,75.752,4,0.16899999999999998
Intergalactic - Remastered,70,231493,0.022000000000000002,0.7340000000000001,0.8640000000000001,9.94e-06,2,0.24600000000000002,-6.119,1,0.303,105.93299999999999,4,0.47
No Longer Mine,29,123257,0.0219,0.66,0.716,8.69e-06,7,0.276,-5.597,1,0.0594,140.05200000000002,4,0.29100000000000004
"Ay, Mamá Inés",40,194706,0.669,0.794,0.36200000000000004,0.8809999999999999,2,0.0941,-13.089,0,0.0879,87.083,4,0.8059999999999999
Rock And Roll All Nite,74,168826,0.0551,0.657,0.932,0.0,1,0.047,-5.819,1,0.0992,144.751,4,0.888
The Sesh,51,218772,0.0232,0.723,0.9520000000000001,0.0,9,0.451,-2.559,0,0.0828,126.00200000000001,4,0.6729999999999999
I Like It,62,253390,0.0981,0.8140000000000001,0.721,0.0,5,0.37799999999999995,-4.026,0,0.136,136.05,4,0.643
Love Myself,48,92508,0.618,0.581,0.708,1.89e-06,7,0.265,-6.625,1,0.0546,155.914,4,0.358
Trampoline,51,184060,0.488,0.6890000000000001,0.41200000000000003,0.00016,7,0.0659,-7.523,0,0.0301,126.75399999999999,4,0.537
Life Is Confusing,52,171413,0.955,0.373,0.21600000000000003,0.00105,1,0.0739,-11.41,1,0.0326,129.03,4,0.496
Original Dreamers,37,255310,0.0108,0.754,0.73,0.00524,6,0.0237,-8.607999999999999,0,0.0352,128.026,4,0.9640000000000001
Stone Cold,36,191307,0.5,0.41,0.462,0.0,8,0.0975,-7.534,1,0.0515,139.861,3,0.354
Bleed It Out,74,166373,0.114,0.529,0.9670000000000001,0.0,1,0.61,-3.647,0,0.0508,140.127,4,0.596
Doubt It,32,210370,0.11900000000000001,0.7440000000000001,0.598,0.0,7,0.114,-7.449,1,0.073,81.0,4,0.228
YOSEMITE,88,150043,0.28300000000000003,0.785,0.5539999999999999,3.4e-06,0,0.11599999999999999,-6.571000000000001,1,0.0409,128.047,4,0.14400000000000002
Pretty Girl,66,194049,0.124,0.7020000000000001,0.715,0.0,6,0.0794,-4.303,1,0.311,189.847,4,0.642
She's Actin' Single (I'm Drinkin' Doubles),41,171093,0.5670000000000001,0.708,0.48200000000000004,2.59e-05,6,0.115,-10.366,1,0.0315,109.41,4,0.6990000000000001
No Scrubs,81,214400,0.0251,0.743,0.675,0.000717,8,0.0685,-4.2669999999999995,0,0.0953,92.90899999999999,4,0.59
"Goodnight, Irene",32,181653,0.863,0.669,0.187,0.0,4,0.33899999999999997,-12.353,1,0.043,128.878,3,0.517
Lover's Moon,58,251400,0.7709999999999999,0.62,0.18600000000000003,0.0115,7,0.0738,-19.695999999999998,1,0.0276,137.715,4,0.44
Daddy Yo,55,160293,0.23399999999999999,0.8190000000000001,0.8390000000000001,1.74e-05,6,0.13699999999999998,-3.6630000000000003,0,0.0682,98.96799999999999,4,0.81
Halo,82,261640,0.272,0.508,0.72,0.0,11,0.0563,-5.9079999999999995,0,0.0628,79.983,4,0.47200000000000003
I Don't Want to Miss a Thing,78,298760,0.165,0.38299999999999995,0.662,0.0,2,0.248,-5.162000000000001,1,0.0333,121.154,4,0.138
We Don't Play,61,217471,0.0914,0.654,0.815,2.59e-06,1,0.226,-5.292999999999999,1,0.315,135.082,4,0.43
On My Mind (Jorja Smith X Preditah),73,181509,0.42,0.71,0.662,0.0,10,0.0723,-5.947,0,0.175,130.037,4,0.755
Walking On Sunshine,79,238733,0.0116,0.596,0.8690000000000001,0.17300000000000001,10,0.0678,-11.97,1,0.037000000000000005,109.902,4,0.9440000000000001
Jiggy,23,178260,0.292,0.725,0.865,4.43e-06,1,0.113,-6.369,1,0.324,83.073,4,0.843
¡Corre!,71,288893,0.127,0.479,0.47700000000000004,0.0,11,0.15,-6.886,1,0.0363,151.97,4,0.127
En La Cama (feat. Daddy Yankee),51,157049,0.157,0.856,0.894,0.0,10,0.11199999999999999,-4.994,0,0.11599999999999999,104.042,4,0.9159999999999999
Sweet Caroline,38,112360,0.767,0.563,0.311,1.2e-06,0,0.11,-9.18,1,0.0317,132.19899999999998,4,0.207
Our House,46,199826,0.0343,0.614,0.638,0.0001,0,0.13699999999999998,-10.48,1,0.0499,121.564,4,0.7140000000000001
Na De Na,68,202866,0.17800000000000002,0.879,0.888,0.0,6,0.122,-5.684,1,0.141,119.94200000000001,4,0.6629999999999999
Born For Greatness,70,227847,0.0571,0.525,0.85,0.0,9,0.0555,-5.468999999999999,0,0.0678,134.115,4,0.275
"Steady, As She Goes",10,215293,0.00882,0.53,0.601,0.0211,9,0.083,-4.364,1,0.11199999999999999,123.009,4,0.5720000000000001
Los Angeles,55,237573,0.000439,0.509,0.8170000000000001,5.56e-06,10,0.0947,-5.472,0,0.0502,155.19899999999998,4,0.597
Darkside,89,211866,0.16399999999999998,0.425,0.642,0.0,4,0.11800000000000001,-5.06,0,0.0502,170.00799999999998,4,0.11199999999999999
Sunflower - Spider-Man: Into the Spider-Verse,66,158053,0.541,0.757,0.501,0.0,2,0.0718,-5.593,1,0.0466,89.931,4,0.91
El Gato Y Yo,49,207573,0.00633,0.753,0.802,0.000127,4,0.919,-6.1979999999999995,0,0.0354,129.99200000000002,4,0.9279999999999999
Ego,69,210431,0.188,0.833,0.5670000000000001,0.0,7,0.0999,-5.16,0,0.1,127.995,4,0.203
Wake Me Up When September Ends,79,285653,0.023,0.546,0.8140000000000001,0.0,7,0.0972,-5.146,1,0.0314,104.98,4,0.146
I Got 5 On It,61,253533,0.193,0.583,0.6920000000000001,0.0,10,0.121,-7.932,0,0.36200000000000004,174.141,4,0.595
Sleep On The Floor,70,211851,0.249,0.389,0.431,0.0,7,0.13,-8.061,1,0.0344,142.14,4,0.275
Na' Nuevo,75,283000,0.384,0.7959999999999999,0.625,0.00778,5,0.10099999999999999,-6.224,0,0.262,150.02100000000002,4,0.561
Ain't No Rest for the Wicked,73,175493,0.0438,0.634,0.8490000000000001,0.0,0,0.363,-7.075,1,0.105,156.004,4,0.919
Amárrame,75,207333,0.247,0.563,0.674,0.0022600000000000003,5,0.107,-4.553999999999999,0,0.048,179.977,4,0.784
Nice Boys,64,180845,0.495,0.546,0.669,0.735,2,0.25,-10.806,1,0.10300000000000001,75.14399999999999,4,0.337
And Along Came the Rain,64,163960,0.987,0.322,0.0231,0.924,10,0.10800000000000001,-24.111,0,0.0411,69.031,4,0.0844
Every Breath You Take,45,253733,0.413,0.828,0.447,0.00335,1,0.07400000000000001,-10.562999999999999,1,0.0349,117.391,4,0.6759999999999999
One Step Closer,75,157333,0.0014,0.49200000000000005,0.9690000000000001,1.32e-06,9,0.0787,-4.419,1,0.0491,95.13600000000001,4,0.5379999999999999
Home,47,214000,0.0027,0.622,0.941,0.00185,9,0.132,-4.651,1,0.162,89.756,4,0.552
Better Life,33,286693,0.29100000000000004,0.5479999999999999,0.838,2.7000000000000004e-06,1,0.179,-4.981,1,0.0363,98.007,4,0.672
Right Thurr,71,250746,0.15,0.866,0.7490000000000001,0.0,2,0.0591,-3.977,1,0.253,92.07700000000001,4,0.8909999999999999
Love Wins,71,228640,0.0112,0.523,0.865,0.0,7,0.153,-4.697,1,0.0989,135.115,4,0.325
